date,country,reported_cases,reported_cases_cumulative,predicted_infections_mean_cumulative,predicted_infections_lower_CI_95_cumulative,predicted_infections_higher_CI_95_cumulative,predicted_infections_mean,predicted_infections_lower_CI_95,predicted_infections_higher_CI_95,reported_deaths,reported_deaths_cumulative,estimated_deaths_mean_cumulative,estimated_deaths_lower_CI_95_cumulative,estimated_deaths_higher_CI_95_cumulative,estimated_deaths_mean,estimated_deaths_lower_CI_95,estimated_deaths_higher_CI_95,mean_time_varying_reproduction_number_R(t),time_varying_reproduction_number_R(t)_lower_CI_95,time_varying_reproduction_number_R(t)_higher_CI_95
2020-03-07,Germany,284,669,8967.73728172153,5297.61676162133,14153.519089028701,2012.99820286156,1342.0906764879699,2892.86284767273,0,0,1.56763300182176,0.571131735782778,3.23918321195391,0.381086125055502,0.158787086870875,0.7406594214328991,4.13836302730891,3.3290805263565804,5.28973051183903
2020-03-08,Germany,163,832,11572.1046729325,7075.304075119829,17853.7086727693,2604.3673912109602,1777.6873134985,3700.18958374063,0,0,2.06236495724796,0.788956340135328,4.17342129637851,0.4947319554261971,0.21782460435255,0.9342380844246009,4.13826447617964,3.32898578845436,5.28965084581854
2020-03-09,Germany,55,887,14936.8477895333,9408.67815374841,22612.720812644,3364.74311660085,2333.37407862858,4759.01213987469,0,0,2.70439012001814,1.08906745810353,5.35389625405856,0.6420251627701871,0.300111117968198,1.18047495768005,4.13813660345046,3.3288685890608103,5.2895417555804105
2020-03-10,Germany,237,1124,19284.5685163764,12456.1112308528,28817.8319762241,4347.72072684308,3047.43307710442,6205.111163580091,2,2,3.5370298549357497,1.49854999941128,6.83714992806882,0.8326397349176049,0.409482541307756,1.48325367401025,4.13797088678259,3.3287238729077298,5.28939226931709
2020-03-11,Germany,157,1281,24905.905824054702,16408.9083102366,36830.050258023904,5621.33730767829,3952.79707938379,8012.218281799829,0,2,4.61593364639452,2.05525614294128,8.70190125642557,1.07890379145877,0.55670614353,1.86475132835675,4.137756080163411,3.3285452808362903,5.28918740491235
2020-03-12,Germany,271,1552,31668.6039390505,21359.897662656,46113.2453327448,6762.69811499577,4950.98935241943,9283.195074720841,1,3,6.01308435920713,2.8093058613482005,11.0449426854013,1.39715071281261,0.7540497184069229,2.3430414289756802,3.8653367976983195,3.11941804136273,4.846096861086219
2020-03-13,Germany,802,2354,40378.7075990486,27741.4648194223,58261.4592771989,8710.10365999813,6381.567156766271,12148.213944454199,2,5,7.8209558081811394,3.8324809678397203,13.9640294836921,1.80787144897401,1.02317510649151,2.91908679829089,3.8650244086398704,3.11919818699166,4.84552670309558
2020-03-14,Germany,693,3047,50900.244748394296,35779.850104777404,71975.3740889605,10521.537149345699,8038.38528535511,13713.914811761499,0,5,10.158472907388699,5.21194637943836,17.643735569796696,2.33751709920751,1.37946541159865,3.6797060861045496,3.6603881856946803,2.9796441169752996,4.38110205469159
2020-03-15,Germany,733,3780,64267.793474241604,46003.4393455538,89437.3681664125,13367.5487258473,10223.5892407764,17461.994077452,3,8,13.178018159483301,7.06930342350096,22.246981220922102,3.0195452520946096,1.8573570440626002,4.603245651125441,3.65992889579988,2.9793096188955803,4.3806181753302
2020-03-16,Germany,1043,4823,81148.674606397,58885.0369473946,111510.36924281,16880.8811321553,12881.5976018408,22073.0010763973,4,12,17.074123620359,9.566356690669961,28.007102622423503,3.89610546087577,2.497053267169,5.7601214015013396,3.65934451068606,2.97890310828287,4.37993463653825
